gene_IDs,DMSO,BPA
ENSG00000273576,6.148786867,6.496050942
ENSG00000151748,8.212474431,8.168848202
ENSG00000285294,7.611374185,7.609890303
ENSG00000142684,10.65686236,10.72234784
ENSG00000148200,6.06260406,6.056498492
ENSG00000256314,3.053739756,2.180203542
ENSG00000116922,6.871453953,6.868838339
ENSG00000073910,5.689989911,5.807021369
ENSG00000147251,4.944407243,5.055502008
ENSG00000133812,5.806584763,5.812022523
ENSG00000173868,9.745588142,9.850931418
ENSG00000197037,4.41152585,4.754212502
ENSG00000128274,8.945141193,9.049326154
ENSG00000258464,3.662495765,4.305188642
ENSG00000181610,7.836043678,7.785957547
ENSG00000173531,6.609204001,7.045846288
ENSG00000082996,7.778026805,7.721370509
ENSG00000134802,6.366900792,6.600687329
ENSG00000109079,9.915550159,9.88085377
ENSG00000198056,6.485991451,6.634764139
ENSG00000078674,5.265074386,5.118510422
ENSG00000261159,2.925567168,3.202575455
ENSG00000233452,2.852448542,4.32620772
ENSG00000180535,1.601954005,2.992073851
ENSG00000178947,4.68798291,5.347466147
ENSG00000138764,4.76311352,4.774586918
ENSG00000169427,3.312329981,4.359231339
ENSG00000257060,6.461226745,6.926995607
ENSG00000180539,2.270986605,2.61823488
ENSG00000005483,4.780830489,4.507356366
ENSG00000226078,4.015159072,4.61918313
ENSG00000145495,9.283750848,9.256710065
ENSG00000107651,8.486101361,8.401901948
ENSG00000115641,4.836944335,4.899915373
ENSG00000108312,6.641909408,6.76673503
ENSG00000164756,3.230285176,3.623971805
ENSG00000141858,6.035299188,6.098055933
ENSG00000122257,5.771370408,5.926360151
ENSG00000188185,8.407945842,8.600825785
ENSG00000226453,3.560535941,4.121532873
ENSG00000141994,8.728820747,8.746626347
ENSG00000023287,8.813039204,8.753462787
ENSG00000246223,3.301687296,3.10979094
ENSG00000131446,10.60210779,10.63094776
ENSG00000198258,12.95064996,12.89208009
ENSG00000174501,5.649550153,5.56191338
ENSG00000106258,12.60324183,12.7277266
ENSG00000124613,2.969846324,2.970305569
ENSG00000164199,6.718265305,6.839832805
ENSG00000253965,4.731487193,4.639526653
ENSG00000236311,3.887966299,4.458140746
ENSG00000100300,12.83969445,13.028193
ENSG00000171863,12.6405142,12.69134171
ENSG00000196367,4.854496632,4.985657669
ENSG00000134899,3.02455741,3.361145194
ENSG00000142871,12.23800876,12.42301158
ENSG00000213693,5.067408664,5.408165823
ENSG00000196366,8.16663924,8.128906872
ENSG00000226706,3.015206281,3.066035766
ENSG00000158806,5.156553225,5.012845147
ENSG00000047410,2.526983325,2.559607488
ENSG00000171928,7.97691079,8.078846191
ENSG00000277870,1.877148993,1.803748694
ENSG00000136237,3.143922077,3.490706821
ENSG00000227269,2.563431268,2.251983739
ENSG00000235994,10.25274115,10.15091974
ENSG00000259584,6.33126211,5.617349358
ENSG00000198670,4.821354033,3.664515948
ENSG00000227471,12.87976316,12.94078637
ENSG00000100897,10.40996683,10.40876653
ENSG00000163516,7.593889056,7.758304515
ENSG00000171466,6.967252899,6.935990762
ENSG00000206053,5.482588751,5.47785466
ENSG00000169446,9.796803526,9.821423176
ENSG00000095261,3.362675509,3.278965531
ENSG00000107951,7.084100263,6.997185535
ENSG00000235480,6.000715751,5.718254217
ENSG00000113368,5.373103745,5.338775941
ENSG00000182670,8.443064698,8.471421709
ENSG00000100445,9.778090154,9.913450148
ENSG00000127184,14.63274373,14.61880526
ENSG00000175711,5.174946762,5.294257353
ENSG00000213741,9.164067649,9.06570213
ENSG00000261824,6.485422094,6.343966854
ENSG00000148110,7.896823629,7.849402174
ENSG00000142676,14.21102841,14.30890747
ENSG00000232963,8.423857596,8.48958459
ENSG00000106399,11.0152154,11.19070711
ENSG00000255114,4.219002794,4.257625816
ENSG00000185561,4.71145156,4.844508599
ENSG00000196233,6.18967411,6.020624371
ENSG00000278921,3.957681514,4.037023261
ENSG00000196792,4.348702507,4.240333664
ENSG00000238045,6.346626327,6.726956458
ENSG00000237212,4.614295103,4.631518615
ENSG00000183765,5.515009956,5.767493094
